barangay,household_id,member_id,nuclear_family,relationship_nuclear_head,national_id_issued,philsys_card_number,solo_parent,solo_parent_id,senior_citizen_id,pregnant,lactating,disability,pwd_id,type_of_disability,seeing,hearing,walking,remembering,self_caring,communication
Anitap,ANI-0001,ANI-0001-1,04,09,8,3001100071852658,2,2,,,,2,2,,3,1,4,4,4,1
Anitap,ANI-0001,ANI-0001-2,05,06,1,9053142942633164,1,2,,,,1,1,"F,C,B",4,2,3,4,3,2
Anitap,ANI-0001,ANI-0001-3,04,10,8,1567566191265251,8,8,,,,1,2,"F,B,G",3,3,4,4,3,2
Anitap,ANI-0002,ANI-0002-1,04,09,2,7142398190300772,1,1,,,,1,2,"D,A,G",,,,,,
Anitap,ANI-0002,ANI-0002-2,02,02,2,7804033028253015,8,1,,2,2,2,2,,3,1,1,3,2,2
Anitap,ANI-0002,ANI-0002-3,03,01,1,7784228709672275,8,2,,2,2,1,1,"A,Z,D",3,4,1,1,3,3
Anitap,ANI-0002,ANI-0002-4,05,00,1,8716713709555686,2,1,,,,2,2,,2,1,3,2,3,3
Anitap,ANI-0002,ANI-0002-5,01,07,2,9036481017490162,2,2,,1,1,1,1,"F,E,B",1,4,1,1,3,1
Anitap,ANI-0002,ANI-0002-6,04,03,2,8173924938109232,2,2,,2,2,2,1,,1,3,4,2,4,3
Anitap,ANI-0003,ANI-0003-1,04,01,8,4589136684283789,1,8,,,,2,1,,,,,,,
Anitap,ANI-0003,ANI-0003-2,01,02,1,2849523441180978,1,2,,2,2,2,2,,2,1,4,2,1,4
Anitap,ANI-0003,ANI-0003-3,01,02,2,4302871847831160,1,8,,2,2,1,1,"F,C,G",3,3,2,2,3,1
Anitap,ANI-0004,ANI-0004-1,04,06,2,4827269757794772,1,1,,1,1,1,2,"B,A,D",4,2,1,4,2,3
Anitap,ANI-0004,ANI-0004-2,02,04,2,7824156661992269,1,2,,,,1,2,"Z,B,F",4,3,3,3,3,2
Anitap,ANI-0004,ANI-0004-3,04,09,8,1813827289365000,8,8,,2,1,1,1,"F,B,A",2,4,1,1,1,3
Anitap,ANI-0004,ANI-0004-4,04,10,1,9877260963389235,8,8,,,,2,2,,4,1,4,2,2,3
Anitap,ANI-0005,ANI-0005-1,02,02,8,6270341026142402,8,1,8,1,2,2,2,,2,2,1,4,4,2
Anitap,ANI-0005,ANI-0005-2,02,00,1,7687477589400224,2,8,,2,1,1,2,"Z,F,E",4,3,1,3,4,4
Anitap,ANI-0005,ANI-0005-3,04,07,1,8840797108260394,8,2,8,2,1,2,1,,2,2,3,3,1,4
Anitap,ANI-0006,ANI-0006-1,01,02,1,6836818498101237,8,2,,,,1,2,"E,F,C",1,4,2,1,1,2
Anitap,ANI-0006,ANI-0006-2,05,01,8,5895379400153564,8,2,,2,1,2,1,,2,1,3,2,4,2
Anitap,ANI-0006,ANI-0006-3,06,02,2,9762754719630259,1,8,,1,1,1,1,"Z,E,G",3,3,4,4,1,1
Anitap,ANI-0007,ANI-0007-1,02,05,8,6247012570623283,1,8,,2,2,1,1,"Z,D,A",1,2,3,3,3,3
Anitap,ANI-0007,ANI-0007-2,06,01,8,9735098352221796,8,1,8,,,1,2,"A,Z,D",3,1,1,2,2,2
Anitap,ANI-0007,ANI-0007-3,02,06,1,1910306763660288,1,1,,,,1,2,"Z,E,C",1,4,2,1,4,3
Anitap,ANI-0008,ANI-0008-1,01,02,2,2023045146826950,8,2,,,,2,2,,,,,,,
Anitap,ANI-0008,ANI-0008-2,01,05,8,9048797728791788,2,1,,,,1,1,"B,A,G",1,2,3,3,1,1
Anitap,ANI-0008,ANI-0008-3,04,07,1,4502695826888538,2,1,,,,2,2,,2,3,1,3,3,1
Anitap,ANI-0008,ANI-0008-4,02,10,2,8132199671242881,8,8,,2,1,2,1,,2,3,1,3,4,3
Anitap,ANI-0008,ANI-0008-5,06,06,1,3086343323327164,2,1,,,,2,2,,2,1,2,3,4,3
Anitap,ANI-0009,ANI-0009-1,01,06,2,5657872496809076,1,1,,,,2,2,,1,3,4,2,4,3
Anitap,ANI-0009,ANI-0009-2,03,09,8,3218156287078344,1,2,,2,1,1,1,"B,G,A",2,1,2,2,4,1
Anitap,ANI-0009,ANI-0009-3,05,05,8,8598930048471922,1,1,,1,2,2,2,,1,2,4,2,1,2
Anitap,ANI-0009,ANI-0009-4,01,07,1,4435812859865624,1,1,,2,1,2,2,,3,2,3,3,3,1
Anitap,ANI-0009,ANI-0009-5,06,06,2,1495940885161218,8,1,,1,1,1,1,"B,D,F",1,2,3,2,3,2
Anitap,ANI-0010,ANI-0010-1,05,06,2,8914691134767090,2,8,,2,1,1,2,"A,D,G",4,3,1,3,3,4
Anitap,ANI-0010,ANI-0010-2,02,06,1,5900282129743194,2,2,,1,1,2,2,,2,1,4,3,1,3
Anitap,ANI-0010,ANI-0010-3,03,04,1,5455874101175767,1,8,,2,2,1,1,"B,D,E",1,4,1,3,2,1
Anitap,ANI-0010,ANI-0010-4,05,02,8,2182472096019671,2,1,,,,1,1,"G,C,E",2,1,1,3,3,3
Anitap,ANI-0010,ANI-0010-5,05,07,2,7508634636505757,8,1,,2,1,2,1,,4,1,3,1,2,1
Anitap,ANI-0011,ANI-0011-1,01,03,2,5396779611753609,1,2,,2,1,1,1,"B,G,C",2,4,2,1,3,1
Anitap,ANI-0011,ANI-0011-2,02,00,8,5709806918533302,2,1,,2,1,2,2,,2,1,3,1,4,4
Anitap,ANI-0012,ANI-0012-1,05,04,8,6738542259634843,1,1,,,,2,1,,3,4,4,1,1,4
Anitap,ANI-0012,ANI-0012-2,01,08,8,9367903562356080,2,8,,,,2,2,,,,,,,
Anitap,ANI-0012,ANI-0012-3,02,03,8,5877326786970388,8,8,,1,2,2,1,,4,2,3,4,4,3
Anitap,ANI-0012,ANI-0012-4,04,09,2,9754075532158933,1,2,,,,1,2,"G,Z,C",4,4,1,2,3,1
Anitap,ANI-0012,ANI-0012-5,06,01,8,3370376864564638,2,2,,,,2,2,,3,4,3,3,3,2
Anitap,ANI-0013,ANI-0013-1,02,03,1,9811685211166865,2,8,,,,2,1,,2,4,1,1,1,1
Anitap,ANI-0013,ANI-0013-2,06,07,1,2634745819859846,8,2,1,2,1,2,2,,3,1,2,1,3,2
Anitap,ANI-0013,ANI-0013-3,02,04,2,9019309173728084,1,8,,,,1,2,"Z,A,C",1,1,1,2,4,1
Anitap,ANI-0013,ANI-0013-4,03,04,1,3242934668115707,2,8,,,,2,2,,,,,,,
Anitap,ANI-0013,ANI-0013-5,02,10,2,7897401997500855,2,2,,,,1,1,"Z,D,A",3,3,1,3,4,1
Anitap,ANI-0014,ANI-0014-1,06,08,8,2541045741371695,1,2,,,,2,2,,1,3,1,2,3,3
Anitap,ANI-0014,ANI-0014-2,05,08,2,8507518377101952,2,2,,,,2,1,,,,,,,
Anitap,ANI-0014,ANI-0014-3,01,10,1,2890597837074477,1,2,1,,,1,1,"C,B,Z",1,2,2,3,3,4
Anitap,ANI-0014,ANI-0014-4,02,10,1,5512575668335714,8,2,2,,,1,1,"G,D,F",1,2,1,2,3,4
Anitap,ANI-0015,ANI-0015-1,02,08,1,8541532468461014,1,8,,,,1,2,"C,E,D",1,1,3,3,4,2
Anitap,ANI-0016,ANI-0016-1,05,10,1,9549285753327121,1,8,8,2,1,2,1,,1,2,2,4,1,3
Anitap,ANI-0017,ANI-0017-1,06,10,1,6378729499411088,1,1,,1,2,1,2,"Z,F,D",2,4,3,1,2,3
Anitap,ANI-0017,ANI-0017-2,06,04,1,5994151054424688,2,1,,1,1,1,2,"E,Z,A",3,3,2,1,2,3
Anitap,ANI-0017,ANI-0017-3,04,09,2,2664167235388108,2,2,,2,2,1,1,"D,A,E",2,3,3,4,4,4
Anitap,ANI-0018,ANI-0018-1,06,01,2,1684592268023529,8,1,1,,,2,2,,2,2,2,3,1,2
Anitap,ANI-0018,ANI-0018-2,03,04,8,4432964761651168,2,1,,,,1,2,"G,E,F",1,3,3,3,4,1
Anitap,ANI-0018,ANI-0018-3,02,08,8,4405363374381243,2,8,,,,1,2,"A,C,F",3,2,4,1,4,4
Anitap,ANI-0018,ANI-0018-4,01,10,1,5787964540018759,1,8,,,,1,2,"B,E,F",4,1,4,4,3,2
Anitap,ANI-0018,ANI-0018-5,01,01,2,2365791164625867,1,1,,,,1,2,"C,Z,A",2,1,2,3,1,1
Anitap,ANI-0018,ANI-0018-6,01,04,8,6731989297382361,1,2,,,,2,1,,4,4,4,2,3,1
Anitap,ANI-0019,ANI-0019-1,02,03,8,2375674395057116,2,1,,,,2,2,,2,3,1,3,1,1
Anitap,ANI-0019,ANI-0019-2,03,07,2,6964894723638613,8,2,,,,2,1,,1,1,3,2,4,2
Anitap,ANI-0019,ANI-0019-3,04,05,2,4546143316497843,2,8,,,,1,2,"E,Z,D",3,1,4,4,4,3
Anitap,ANI-0020,ANI-0020-1,06,02,2,6496150283444753,1,2,,1,1,2,1,,1,2,2,2,1,2
Anitap,ANI-0020,ANI-0020-2,03,05,8,6832377983886101,1,1,,,,1,1,"G,Z,A",4,1,4,1,2,1
Anitap,ANI-0020,ANI-0020-3,03,02,8,2963639707185127,8,8,,1,1,1,2,"G,C,F",4,3,4,3,4,3
Anitap,ANI-0021,ANI-0021-1,02,05,2,5735665032914683,1,1,,,,1,1,"G,Z,A",3,2,2,3,2,4
Anitap,ANI-0021,ANI-0021-2,04,10,8,8619519799135884,2,1,,,,1,2,"B,C,Z",1,2,1,3,2,4
Anitap,ANI-0021,ANI-0021-3,04,09,1,6918431126716503,1,8,,,,1,2,"B,F,C",4,2,1,4,1,2
Anitap,ANI-0022,ANI-0022-1,04,05,1,6000455686137040,1,8,,,,2,1,,,,,,,
Anitap,ANI-0022,ANI-0022-2,03,03,8,3674331202859600,1,2,,,,2,2,,1,4,3,2,4,3
Anitap,ANI-0022,ANI-0022-3,06,10,8,6906145912875588,8,1,,,,1,2,"B,Z,F",2,2,4,1,4,4
