barangay,household_id,member_id,last_name,first_name,suffix,middle_name,relationship,gender,birthday,age,local_civil_registry,marital_status,ethnicity,religion,can_read_write,highest_grade_completed
Anitap,ANI-0001,ANI-0001-1,Lopez,Octavio,III,Reyes,01,1,2000-10-08,24,8,2,Sangirese,Roman Catholic,2,21400102
Anitap,ANI-0001,ANI-0001-2,Lopez,Ildefonso,IV,Mendoza,04,1,2018-08-17,6,8,1,Sangirese,Roman Catholic,2,02100000
Anitap,ANI-0001,ANI-0001-3,Lopez,Sandra,,Mendoza,04,2,2015-09-14,9,2,1,Kalagan,Aglipayan,1,10000102
Anitap,ANI-0001,ANI-0001-4,Lopez,Elias,IV,Mendoza,04,1,2016-06-26,8,2,1,Maranao,Islam,2,10000101
Anitap,ANI-0001,ANI-0001-5,Lopez,Bruno,,Martinez,08,1,1973-09-26,51,2,2,Maranao,Roman Catholic,2,11000108
Anitap,ANI-0002,ANI-0002-1,Romero,Wilhelmina,,Medina,01,2,1997-06-16,27,1,2,Maranao,Roman Catholic,1,11000202
Anitap,ANI-0002,ANI-0002-2,Romero,Lauro,III,Perez,04,1,2014-03-04,10,2,1,Tausug,Islam,1,02000000
Anitap,ANI-0002,ANI-0002-3,Moreno,Alejandra,,Reyes,08,2,1995-07-08,29,1,2,Maranao,Islam,2,30400106
Anitap,ANI-0002,ANI-0002-4,Romero,Victor,III,Perez,03,1,2024-02-10,0,1,1,Davawenyo,Bible Baptist Church,,00000000
Anitap,ANI-0002,ANI-0002-5,Romero,Norberto,Jr.,Gonzales,08,1,1991-12-28,33,8,2,Surigaonon,Roman Catholic,1,11000102
Anitap,ANI-0002,ANI-0002-6,Romero,Maria,,Gutierrez,08,2,2003-08-16,21,1,2,Tagalog,Roman Catholic,2,21400103
Anitap,ANI-0003,ANI-0003-1,Ramirez,Honorio,Sr.,Cruz,02,1,2021-03-14,3,1,1,Mandaya,Roman Catholic,,00000000
Anitap,ANI-0003,ANI-0003-2,Ramirez,Nicolas,Jr.,Gomez,02,1,1994-06-10,30,2,2,Sarangani,Roman Catholic,2,10000106
Anitap,ANI-0003,ANI-0003-3,Medina,Buenaventura,III,Molina,07,1,1991-12-18,33,8,2,Sarangani,Roman Catholic,2,11000203
Anitap,ANI-0003,ANI-0003-4,Castillo,Fidel,III,Guerrero,07,1,1995-08-07,29,2,2,Sarangani,Islam,2,30400106
Anitap,ANI-0004,ANI-0004-1,Cabrera,Gloria,,Aguilar,01,2,1987-07-23,37,8,2,Tagalog,Roman Catholic,1,11000203
Anitap,ANI-0004,ANI-0004-2,Cabrera,Rogelio,III,Martinez,02,1,1978-10-06,46,8,2,Sarangani,Roman Catholic,1,11000108
Anitap,ANI-0004,ANI-0004-3,Cabrera,Flora,,Herrera,07,2,1971-11-04,53,1,2,Others,Roman Catholic,2,11000103
Anitap,ANI-0005,ANI-0005-1,Rodriguez,Ivan,,Jimenez,01,1,1981-03-01,43,1,2,Davawenyo,Roman Catholic,1,11000203
Anitap,ANI-0005,ANI-0005-2,Rodriguez,Serafina,,Flores,02,2,2004-03-12,20,8,2,Tausug,Islam,1,20400103
Anitap,ANI-0005,ANI-0005-3,Ramos,Prospero,Sr.,Sanchez,07,1,1995-03-11,29,2,2,Surigaonon,Roman Catholic,1,10000106
Anitap,ANI-0005,ANI-0005-4,Sanchez,Norma,,Diaz,07,2,1975-04-21,49,1,2,Cebuano,Roman Catholic,1,21400102
Anitap,ANI-0005,ANI-0005-5,Rodriguez,Priscilla,,Martinez,07,2,1930-02-26,94,2,2,Maranao,Evangelical,1,10000102
Anitap,ANI-0005,ANI-0005-6,Rodriguez,Vicenta,,Gonzales,07,2,1989-01-12,35,1,2,Sarangani,Roman Catholic,2,21400101
Anitap,ANI-0006,ANI-0006-1,Gomez,Bartolome,,Ramirez,01,1,1994-08-07,30,2,2,Bisaya/Binisaya,Roman Catholic,2,20400101
Anitap,ANI-0006,ANI-0006-2,Gomez,Delfin,IV,Guerrero,02,1,2000-04-13,24,2,2,Maguindanao,Roman Catholic,2,21400101
